City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Antsohihy,MG,2022-03-20 04:54:19,-14.8796,47.9875,76.78,93,100,2.39
68,Fairbanks,US,2022-03-20 04:56:57,64.8378,-147.7164,17.6,69,100,0.0
69,Uncia,BO,2022-03-20 04:59:12,-18.467,-66.5685,44.78,92,88,4.12
70,Klyuchi,RU,2022-03-20 04:59:12,52.2667,79.1667,17.76,84,95,8.34
71,Vanavara,RU,2022-03-20 04:59:12,60.34,102.2797,24.49,90,100,13.51
72,Saint George,US,2022-03-20 04:59:13,37.1041,-113.5841,65.62,15,98,5.01
73,Ewa Beach,US,2022-03-20 04:59:13,21.3156,-158.0072,76.08,74,8,7.18
74,Guerrero Negro,MX,2022-03-20 04:59:13,27.9769,-114.0611,59.61,84,0,15.93
75,Lebu,CL,2022-03-20 04:59:14,-37.6167,-73.65,54.23,73,100,6.46
76,Dhidhdhoo,MV,2022-03-20 04:59:14,6.8833,73.1,83.26,70,1,14.72
77,Shache,CN,2022-03-20 04:59:15,38.4167,77.2406,59.72,30,95,7.43
78,Mataura,NZ,2022-03-20 04:59:15,-46.1927,168.8643,67.48,49,41,3.6
79,Manado,ID,2022-03-20 04:59:15,1.487,124.8455,77.77,94,40,2.3
80,Chuy,UY,2022-03-20 04:59:16,-33.6971,-53.4616,57.42,65,49,5.99
81,Inyonga,TZ,2022-03-20 04:59:16,-6.7167,32.0667,65.19,95,100,2.39
82,Conceicao Da Barra,BR,2022-03-20 04:59:16,-18.5933,-39.7322,73.54,88,3,1.48
83,San Patricio,US,2022-03-20 04:59:17,28.017,-97.5169,63.84,62,0,7.02
84,Khorixas,NA,2022-03-20 04:59:17,-20.3667,14.9667,68.86,72,12,7.76
85,Nikolskoye,RU,2022-03-20 04:59:17,59.7035,30.7861,34.88,88,0,8.66
86,Lanzhou,CN,2022-03-20 04:59:18,36.0564,103.7922,53.76,29,60,7.58
87,Lavrentiya,RU,2022-03-20 04:59:18,65.5833,-171.0,-5.39,81,0,3.15
88,Kalevala,RU,2022-03-20 04:59:19,65.2,31.1667,37.83,81,33,13.44
89,Fortuna,US,2022-03-20 04:59:19,40.5982,-124.1573,47.66,77,100,13.8
90,Ayorou,NE,2022-03-20 04:59:19,14.7308,0.9174,79.65,16,1,5.26
91,Buraydah,SA,2022-03-20 05:00:26,26.326,43.975,69.89,19,0,10.89
92,Palana,RU,2022-03-20 05:00:32,59.1167,159.9667,28.53,82,81,10.69
