City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Sume,BR,2022-04-13 03:57:16,-7.6717,-36.88,68.56,94,34,4.32
68,Zhuhai,CN,2022-04-13 03:56:17,22.2769,113.5678,84.85,88,40,9.22
69,Saldanha,ZA,2022-04-13 03:57:16,-33.0117,17.9442,60.85,91,79,11.05
70,Malkangiri,IN,2022-04-13 03:57:17,18.35,81.9,93.25,39,71,3.6
71,Bluff,NZ,2022-04-13 03:57:17,-46.6,168.3333,57.79,59,28,9.28
72,Hilo,US,2022-04-13 03:57:18,19.7297,-155.09,74.25,90,100,8.05
73,Cape Town,ZA,2022-04-13 03:57:12,-33.9258,18.4232,62.91,95,100,8.99
74,Jamestown,US,2022-04-13 03:55:20,42.097,-79.2353,53.24,49,0,4.61
75,Hobart,AU,2022-04-13 03:57:18,-42.8794,147.3294,71.02,48,20,11.5
76,Comodoro Rivadavia,AR,2022-04-13 03:57:19,-45.8667,-67.5,55.26,50,0,24.16
77,Busselton,AU,2022-04-13 03:57:19,-33.65,115.3333,71.91,39,0,8.14
78,Marshall,US,2022-04-13 03:57:20,34.3834,-86.3333,71.31,62,0,4.61
79,Cherskiy,RU,2022-04-13 03:57:20,68.75,161.3,11.05,77,100,4.65
80,Kaitangata,NZ,2022-04-13 03:57:20,-46.2817,169.8464,57.4,52,30,3.04
81,Port Lincoln,AU,2022-04-13 03:49:45,-34.7333,135.8667,68.95,61,80,13.76
82,Tocopilla,CL,2022-04-13 03:57:21,-22.092,-70.1979,63.3,73,7,6.38
83,Kloulklubed,PW,2022-04-13 03:57:21,7.0419,134.2556,84.7,80,82,19.13
84,Sao Filipe,CV,2022-04-13 03:57:22,14.8961,-24.4956,70.2,76,100,10.27
85,Namibe,AO,2022-04-13 03:57:22,-15.1961,12.1522,75.42,79,1,4.29
86,Nanortalik,GL,2022-04-13 03:57:23,60.1432,-45.2371,32.11,78,100,3.96
87,Pavlovka,RU,2022-04-13 03:57:23,52.6897,47.1405,49.05,85,100,11.83
88,Atambua,ID,2022-04-13 03:57:24,-9.1061,124.8925,82.89,63,91,3.09
89,Kapit,MY,2022-04-13 03:57:24,2.0167,112.9333,91.31,53,85,2.75
90,Babu,CN,2022-04-13 03:57:25,24.4167,111.5167,68.79,85,99,10.33
91,Puerto Ayora,EC,2022-04-13 03:57:25,-0.7393,-90.3518,76.62,90,94,5.68
92,Policoro,IT,2022-04-13 03:57:26,40.2115,16.6726,39.97,82,96,3.85
93,Petropavlovsk-Kamchatskiy,RU,2022-04-13 03:57:26,53.0452,158.6483,39.79,45,0,8.95
94,Carnarvon,AU,2022-04-13 03:58:27,-24.8667,113.6333,80.67,36,0,17.27
95,Deputatskiy,RU,2022-04-13 03:58:27,69.3,139.9,6.64,86,100,3.76
96,Havoysund,NO,2022-04-13 03:58:27,70.9963,24.6622,30.43,70,98,10.51
97,Zlobin,HR,2022-04-13 03:58:28,45.2924,14.6541,37.17,93,0,2.3
98,Ulagan,RU,2022-04-13 03:58:28,50.6321,87.9563,38.19,68,79,2.01
99,Synya,RU,2022-04-13 03:58:29,65.3718,58.0387,33.84,100,100,2.46
100,Georgetown,MY,2022-04-13 03:58:29,5.4112,100.3354,89.55,70,20,3.44
101,Vaini,TO,2022-04-13 03:58:30,-21.2,-175.2,84.36,74,20,6.91
102,Lompoc,US,2022-04-13 03:58:30,34.6391,-120.4579,49.59,69,0,8.99
