City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cherskiy,RU,68.75,161.3,11.05,77,100,4.65,overcast clouds
80,Kaitangata,NZ,-46.2817,169.8464,57.4,52,30,3.04,scattered clouds
81,Port Lincoln,AU,-34.7333,135.8667,68.95,61,80,13.76,broken clouds
82,Tocopilla,CL,-22.092,-70.1979,63.3,73,7,6.38,clear sky
83,Kloulklubed,PW,7.0419,134.2556,84.7,80,82,19.13,broken clouds
84,Sao Filipe,CV,14.8961,-24.4956,70.2,76,100,10.27,overcast clouds
85,Namibe,AO,-15.1961,12.1522,75.42,79,1,4.29,clear sky
86,Nanortalik,GL,60.1432,-45.2371,32.11,78,100,3.96,overcast clouds
87,Pavlovka,RU,52.6897,47.1405,49.05,85,100,11.83,overcast clouds
88,Atambua,ID,-9.1061,124.8925,82.89,63,91,3.09,overcast clouds
89,Kapit,MY,2.0167,112.9333,91.31,53,85,2.75,overcast clouds
90,Babu,CN,24.4167,111.5167,68.79,85,99,10.33,overcast clouds
91,Puerto Ayora,EC,-0.7393,-90.3518,76.62,90,94,5.68,overcast clouds
92,Policoro,IT,40.2115,16.6726,39.97,82,96,3.85,overcast clouds
93,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,39.79,45,0,8.95,clear sky
94,Carnarvon,AU,-24.8667,113.6333,80.67,36,0,17.27,clear sky
95,Deputatskiy,RU,69.3,139.9,6.64,86,100,3.76,overcast clouds
96,Havoysund,NO,70.9963,24.6622,30.43,70,98,10.51,light snow
97,Zlobin,HR,45.2924,14.6541,37.17,93,0,2.3,clear sky
98,Ulagan,RU,50.6321,87.9563,38.19,68,79,2.01,broken clouds
99,Synya,RU,65.3718,58.0387,33.84,100,100,2.46,snow
100,Georgetown,MY,5.4112,100.3354,89.55,70,20,3.44,few clouds
101,Vaini,TO,-21.2,-175.2,84.36,74,20,6.91,few clouds
102,Lompoc,US,34.6391,-120.4579,49.59,69,0,8.99,clear sky
103,Cidreira,BR,-30.1811,-50.2056,70.07,91,53,6.73,broken clouds
104,Fort Nelson,CA,58.8053,-122.7002,18.99,38,20,3.44,few clouds
105,Gat,IL,31.61,34.7642,56.08,74,7,0.56,clear sky
106,Upernavik,GL,72.7868,-56.1549,3.96,97,100,9.53,overcast clouds
107,Hermanus,ZA,-34.4187,19.2345,56.8,91,77,1.81,broken clouds
108,Jackson,US,42.4165,-122.8345,38.79,89,77,3.42,broken clouds
109,Urucui,BR,-7.2294,-44.5561,74.46,90,27,2.08,scattered clouds
110,Saint-Lo,FR,49.1162,-1.0903,43.23,93,52,3.4,broken clouds
111,Peleduy,RU,59.6289,112.7406,35.22,64,89,5.73,overcast clouds
112,Sola,VU,-13.8833,167.55,90.27,66,40,2.3,scattered clouds
113,New Norfolk,AU,-42.7826,147.0587,70.66,42,12,5.01,few clouds
114,Sindou,BF,10.6667,-5.1667,81.14,54,60,3.76,broken clouds
115,Mikhaylovka,RU,50.06,43.2379,52.79,83,100,15.52,light rain
116,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,88,40,8.05,scattered clouds
117,Zhezkazgan,KZ,47.8043,67.7144,51.78,71,0,6.71,clear sky
118,Ormara,PK,25.2088,64.6357,80.33,77,0,7.0,clear sky
119,Leshan,CN,29.5623,103.7639,75.04,63,100,3.49,overcast clouds
120,Broome,US,42.2506,-75.833,48.65,63,95,1.99,overcast clouds
121,Cabo San Lucas,MX,22.8909,-109.9124,70.61,79,56,13.11,broken clouds
122,Carutapera,BR,-1.195,-46.02,76.24,92,97,4.76,overcast clouds
123,Wagar,SD,16.1525,36.2032,85.23,35,6,7.16,clear sky
124,Lorengau,PG,-2.0226,147.2712,84.94,69,6,7.43,clear sky
125,Kitimat,CA,54.0524,-128.6534,35.98,39,35,8.5,scattered clouds
126,San Patricio,US,28.017,-97.5169,76.89,89,17,17.27,few clouds
127,Butaritari,KI,3.0707,172.7902,82.04,76,58,14.88,broken clouds
128,Yar-Sale,RU,66.8333,70.8333,34.45,100,100,8.57,overcast clouds
129,Ostrovnoy,RU,68.0531,39.5131,17.47,91,76,6.64,broken clouds
130,Avarua,CK,-21.2078,-159.775,78.85,83,100,8.05,overcast clouds
131,Prince George,CA,53.9166,-122.753,22.44,41,0,14.97,clear sky
132,Berlevag,NO,70.8578,29.0864,30.2,82,98,12.15,overcast clouds
133,Serenje,ZM,-13.2325,30.2352,58.64,98,8,4.61,clear sky
134,Hambantota,LK,6.1241,81.1185,79.14,100,40,2.3,scattered clouds
135,Saint-Philippe,RE,-21.3585,55.7679,78.39,85,98,15.37,light rain
136,Pevek,RU,69.7008,170.3133,3.06,76,100,2.08,overcast clouds
137,Nouakchott,MR,18.0858,-15.9785,66.13,82,100,15.68,overcast clouds
138,Kavieng,PG,-2.5744,150.7967,83.91,74,22,10.54,light rain
139,Nantucket,US,41.2835,-70.0995,49.14,86,33,9.22,scattered clouds
140,Iqaluit,CA,63.7506,-68.5145,11.93,79,100,21.85,light snow
141,Tiksi,RU,71.6872,128.8694,-1.01,91,99,3.31,overcast clouds
142,George,ZA,-33.963,22.4617,58.55,94,100,4.61,fog
143,La Ronge,CA,55.1001,-105.2842,17.85,57,100,13.8,overcast clouds
144,Divnomorskoye,RU,44.5011,38.1353,46.29,76,100,14.99,overcast clouds
145,Opuwo,,-18.0607,13.84,64.27,77,78,3.89,broken clouds
146,Provideniya,RU,64.3833,-173.3,24.91,80,100,25.01,light snow
147,Itoman,JP,26.1247,127.6694,78.82,73,40,13.8,scattered clouds
148,Vostok,RU,46.4856,135.8833,36.09,68,100,7.18,overcast clouds
149,Taltal,CL,-25.4,-70.4833,60.48,81,1,1.79,clear sky
150,Xianyang,CN,34.3378,108.7026,63.64,59,20,4.47,few clouds
151,Gidole,ET,5.65,37.3667,59.23,70,48,0.54,light rain
152,Bayan,CN,46.0833,127.4,52.18,19,71,2.77,broken clouds
153,Kerema,PG,-7.9631,145.7785,86.14,71,98,10.36,overcast clouds
154,Novobirilyussy,RU,56.9514,90.6661,33.85,69,74,4.41,broken clouds
155,Longyearbyen,SJ,78.2186,15.6401,17.44,86,75,3.44,light snow
156,Hobyo,SO,5.3505,48.5268,82.62,70,6,7.47,clear sky
157,Krasnoselkup,RU,65.7,82.4667,32.95,100,99,13.31,overcast clouds
158,Thompson,CA,55.7435,-97.8558,24.96,93,100,6.91,overcast clouds
159,La Tuque,CA,47.4334,-72.7824,34.05,69,63,1.14,broken clouds
160,Nampula,MZ,-15.1165,39.2666,71.55,94,20,2.3,few clouds
161,Bluefield,US,37.2698,-81.2223,60.4,91,93,3.31,overcast clouds
162,Maceio,BR,-9.6658,-35.7353,74.64,88,0,3.44,clear sky
163,Canete,CL,-37.8,-73.4,44.64,79,1,4.92,clear sky
164,Luena,AO,-11.7833,19.9167,59.9,97,42,4.27,scattered clouds
165,Miraflores,MX,19.2167,-98.8083,70.03,58,78,4.29,broken clouds
166,Barrow,US,71.2906,-156.7887,-6.74,93,21,5.37,few clouds
167,Smithers,CA,54.7804,-127.1743,26.92,31,20,11.5,few clouds
168,Pangnirtung,CA,66.1451,-65.7125,2.46,98,100,5.23,overcast clouds
169,Pacifica,US,37.6138,-122.4869,49.78,76,0,14.0,clear sky
170,Lengshuijiang,CN,27.6881,111.4294,59.11,85,100,7.34,overcast clouds
171,Mahebourg,MU,-20.4081,57.7,80.26,88,75,11.5,broken clouds
172,Port-Gentil,GA,-0.7193,8.7815,79.83,84,100,7.65,light rain
173,Pundaguitan,PH,6.3711,126.1689,84.04,67,100,7.96,overcast clouds
174,Calabozo,VE,8.9242,-67.4293,83.37,55,39,11.79,scattered clouds
175,Khatanga,RU,71.9667,102.5,13.75,82,100,12.17,overcast clouds
176,Brest,BY,52.1,23.7,35.31,76,1,4.12,clear sky
177,Nikolskoye,RU,59.7035,30.7861,35.87,86,8,3.15,clear sky
178,Souillac,MU,-20.5167,57.5167,77.68,81,72,18.61,light rain
179,Pathein,MM,16.7833,94.7333,93.7,41,1,12.73,clear sky
180,Galle,LK,6.0367,80.217,84.06,73,97,3.6,moderate rain
181,Nizwa,OM,22.9333,57.5333,90.14,11,0,2.17,clear sky
182,Mayo,US,38.8876,-76.5119,66.16,77,75,0.0,broken clouds
183,Saint George,US,37.1041,-113.5841,48.94,14,0,10.36,clear sky
184,Saint-Augustin,CA,51.226,-58.6502,27.43,91,90,5.79,overcast clouds
185,Bossangoa,CF,6.4926,17.4552,72.12,85,82,3.24,light rain
186,Sakti,IN,22.0333,82.9667,99.28,19,85,8.81,overcast clouds
187,Caconda,AO,-13.7333,15.0667,56.5,96,65,3.27,broken clouds
